time,lat,lon,u,v,speed_mps,heading_deg,ok
2026-01-20T23:00:00+00:00,33.2377,-37.2732,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-20T23:10:00+00:00,33.23693529811527,-37.273054361296126,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-20T23:20:00+00:00,33.236170596230544,-37.272908723866024,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-20T23:30:00+00:00,33.23540589434582,-37.27276308770965,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-20T23:40:00+00:00,33.23464119246109,-37.27261745282695,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-20T23:50:00+00:00,33.233876490576364,-37.272471819217884,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:00:00+00:00,33.23311178869164,-37.2723261868824,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:10:00+00:00,33.23234708680691,-37.272180555820455,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:20:00+00:00,33.231582384922184,-37.27203492603199,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:30:00+00:00,33.23081768303746,-37.271889297516964,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:40:00+00:00,33.23005298115273,-37.27174367027533,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T00:50:00+00:00,33.229288279268005,-37.271598044307034,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:00:00+00:00,33.22852357738328,-37.27145241961203,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:10:00+00:00,33.22775887549855,-37.271306796190274,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:20:00+00:00,33.226994173613825,-37.271161174041715,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:30:00+00:00,33.2262294717291,-37.2710155531663,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:40:00+00:00,33.22546476984437,-37.270869933563986,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T01:50:00+00:00,33.224700067959645,-37.27072431523472,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T02:00:00+00:00,33.22393536607492,-37.27057869817847,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T02:10:00+00:00,33.22317066419019,-37.270433082395165,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T02:20:00+00:00,33.222405962305466,-37.27028746788477,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
2026-01-21T02:30:00+00:00,33.22164126042074,-37.270141854647235,0.022574936971068382,-0.1417182832956314,0.14350505078048142,170.9491430140754,True
